,SIZE,SEXA,SSJB1WK,SPAGEX,SPLVTG,PPLVTG,MMLVTG,CCNUMTTL,CC01SEX,CC01AGE,SZFFOTHR,SZFFONLY,SZFFTTL,FFHEAD,SZFFOUT,INCSELF,INCSP,INCPEN,INCUEB,INCIRR,INCRENT,SZINCOMA,XNUMSISE,XNUMBROY,XSSNBROY,XSSNSISY,TP5LOC15,PPJBXX15,PPJBSZ15,MMJBTP15,XXLSTSCH,SSLSTSCH,PPLSTSCH,DOLSTSCH,XSPSCH
92,2,1,3,55,1,3,2,1,1,35,0,1,2,1,0,0,1,1,1,1,1,5,1,0,0,0,2,2,2,3,2,2,1,2,2
93,3,2,3,60,1,3,3,2,1,34,0,1,2,2,0,1,1,0,1,1,1,0,0,0,0,0,3,2,2,2,2,2,1,1,2
94,1,1,3,55,1,3,3,2,2,30,0,2,3,1,0,0,1,1,1,1,1,5,0,1,0,1,1,2,6,1,3,3,3,1,2
95,1,1,1,56,1,3,2,2,2,31,0,2,3,1,0,0,1,1,1,1,1,0,0,0,0,1,4,0,0,4,2,2,0,1,2
96,3,2,1,63,1,2,2,1,1,35,0,1,2,2,0,1,1,1,1,1,1,3,0,0,0,1,2,2,0,3,2,2,2,1,1
97,1,1,1,56,1,3,3,0,0,0,0,1,2,1,0,0,1,1,1,1,1,4,0,0,0,0,1,2,6,1,2,3,1,1,2
98,1,2,1,61,1,3,3,2,1,35,0,3,4,2,0,0,1,1,1,1,1,2,2,0,1,2,2,2,6,1,2,2,3,1,2
99,1,2,1,63,1,3,2,2,1,38,0,1,2,1,0,0,1,1,1,1,1,0,0,2,3,2,1,0,0,3,3,3,0,1,2
100,4,1,3,59,1,3,3,3,1,36,0,1,2,1,0,0,1,1,1,1,1,5,2,0,0,0,2,2,6,1,2,2,1,1,2
101,3,2,3,61,1,2,3,2,2,34,0,1,2,2,0,0,1,1,1,1,1,2,0,0,0,0,4,2,2,4,2,2,1,1,2
102,1,1,1,59,1,2,2,2,2,32,0,3,4,1,0,0,1,1,1,1,1,5,0,1,0,0,2,2,6,3,2,3,2,1,2
103,1,2,0,0,0,3,3,2,2,37,0,2,3,1,0,0,1,1,1,1,1,2,1,0,0,0,2,2,2,4,2,0,2,1,2
104,4,1,3,54,1,3,1,2,2,20,0,3,4,1,0,0,1,1,1,1,1,4,3,0,3,0,4,2,2,4,2,0,1,1,2
105,4,1,1,49,1,2,2,3,2,26,0,1,2,1,3,0,1,1,1,1,1,0,1,0,0,1,3,2,6,3,2,2,1,1,2
106,1,2,1,56,1,3,3,2,1,31,1,2,3,2,0,1,1,1,1,1,1,2,1,0,0,0,2,2,2,1,2,3,1,1,2
107,3,2,3,60,1,2,2,2,1,33,0,3,4,2,0,1,1,0,1,1,1,0,0,2,0,0,4,2,2,4,2,2,0,1,2
108,2,1,3,54,1,3,3,3,1,31,0,1,2,1,0,0,1,1,1,1,1,4,4,0,0,0,3,2,1,4,2,2,1,1,2
109,1,1,3,52,1,3,1,0,0,0,0,2,3,1,0,0,1,1,1,1,1,0,0,1,0,0,1,2,2,1,3,3,3,1,2
110,2,1,3,44,1,3,2,1,1,16,0,2,3,1,0,0,1,1,1,1,1,3,0,0,0,0,3,1,5,1,3,2,3,1,2
111,3,2,1,60,1,2,2,3,1,30,1,2,3,2,0,0,1,0,1,1,1,2,1,0,2,0,2,2,5,3,2,3,1,1,1
112,1,2,0,0,0,3,2,3,2,29,0,0,1,1,0,0,1,1,1,1,1,5,1,0,0,0,2,2,3,1,2,0,0,1,1
113,3,2,1,57,1,3,2,3,1,31,0,1,2,2,3,0,1,1,1,1,1,2,0,2,0,0,2,2,2,1,2,2,1,1,2
114,4,2,1,55,1,3,3,4,2,31,1,3,4,2,0,1,1,0,1,1,1,1,0,0,2,0,3,2,6,3,2,2,1,1,1
115,3,2,1,60,1,3,2,2,2,29,0,3,4,2,0,0,1,1,1,1,1,2,0,0,0,2,3,2,2,4,2,2,1,1,2
116,4,2,1,55,1,3,3,3,2,27,0,2,3,2,1,0,1,1,1,1,1,2,1,0,0,1,3,2,2,4,2,3,1,1,2
117,2,1,1,47,1,3,3,2,2,24,0,2,3,1,1,0,1,1,1,1,1,4,3,1,1,0,2,2,1,1,2,2,2,1,2
118,1,2,1,54,1,3,2,0,0,0,0,1,2,2,0,0,1,1,1,1,1,2,0,0,0,0,1,2,6,3,3,2,3,1,2
119,3,1,0,0,0,3,3,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,2,2,2,1,3,0,2,1,2
120,4,2,1,54,1,2,2,2,2,25,0,2,3,2,0,1,1,1,1,1,1,0,1,0,0,1,1,2,3,2,2,3,0,1,2
121,3,2,0,0,0,3,3,2,1,30,0,0,1,1,0,0,1,1,1,1,1,3,0,0,0,0,2,2,5,1,2,0,1,1,2
122,1,2,1,57,1,3,2,2,2,30,0,2,3,2,0,1,1,1,1,1,1,1,0,2,0,0,3,2,2,4,2,3,1,1,2
123,4,1,1,52,1,2,3,2,1,22,0,2,3,1,1,0,1,1,1,1,1,4,0,1,0,0,3,2,6,1,3,2,2,1,2
124,4,2,1,56,1,3,2,3,1,26,0,2,3,2,1,0,1,1,1,1,1,2,1,0,1,0,3,2,2,2,3,2,1,1,1
125,3,2,2,56,1,2,2,2,1,28,0,2,3,2,1,0,1,1,1,1,1,3,0,1,0,0,3,2,2,2,2,2,2,1,2
126,1,2,1,56,1,3,3,2,1,31,0,1,2,2,0,1,1,1,1,1,1,1,1,0,0,0,3,2,3,4,2,2,2,1,2
127,3,2,1,55,1,2,2,3,1,27,2,4,5,2,1,1,1,1,1,1,1,3,0,1,1,0,2,1,3,4,2,2,2,1,2
128,1,1,1,45,1,3,3,0,0,0,0,1,2,1,0,0,1,1,1,1,1,4,0,0,0,0,2,2,5,3,3,3,2,1,2
129,3,1,1,55,1,2,2,1,1,26,0,2,3,1,0,0,1,1,1,1,1,0,1,0,0,0,2,2,3,1,3,3,1,1,2
130,2,1,0,0,0,2,2,3,1,23,0,0,1,1,0,0,1,1,1,1,1,5,0,1,0,0,3,2,2,3,3,0,2,1,2
131,2,1,3,53,1,2,2,0,0,0,0,1,2,1,0,0,1,1,1,1,1,4,2,1,0,0,2,2,2,2,2,2,1,1,1
132,3,1,1,47,1,3,2,3,1,24,0,1,2,1,2,0,1,1,1,1,1,4,0,0,0,1,2,2,5,2,2,2,1,1,2
133,1,2,1,54,1,2,2,1,2,22,0,1,2,2,1,0,1,1,1,1,1,0,1,0,0,0,1,2,2,4,3,3,1,1,2
134,3,1,3,50,1,3,3,2,2,21,0,3,4,1,0,0,1,1,1,1,1,5,3,0,1,0,1,2,6,1,2,2,2,1,2
