,MARC
1624,4
1625,2
1626,2
1627,4
1628,1
1629,1
1630,1
1631,1
1632,1
1633,2
1634,1
1635,1
1636,1
1637,1
1638,1
1639,1
1640,1
1641,2
1642,1
1643,4
1644,1
1645,3
1646,1
1647,1
1648,4
1649,1
1650,1
1651,1
1652,1
1653,1
1654,1
1655,4
1656,4
1657,4
1658,9
1659,1
1660,1
1661,3
1662,1
1663,1
1664,1
1665,2
1666,1
1667,1
1668,1
1669,4
1670,1
1671,4
1672,1
1673,1
1674,1
1675,1
1676,1
1677,4
1678,4
1679,4
1680,1
1681,1
1682,1
1683,4
1684,1
1685,1
1686,2
1687,1
1688,1
1689,4
1690,4
1691,1
1692,1
1693,1
1694,4
1695,1
1696,4
1697,1
1698,1
1699,4
1700,4
1701,4
1702,4
1703,4
1704,4
1705,4
1706,4
1707,1
1708,4
1709,4
1710,4
1711,4
1712,4
1713,4
1714,4
1715,4
1716,4
1717,4
1718,4
1719,4
1720,4
1721,4
1722,4
1723,2
1724,3
1725,1
1726,3
1727,1
1728,1
1729,1
1730,1
1731,3
1732,3
1733,1
1734,1
1735,1
1736,1
1737,2
1738,1
1739,3
1740,5
1741,1
1742,1
1743,1
1744,4
1745,1
1746,1
1747,1
1748,4
1749,4
1750,1
1751,1
1752,4
1753,1
1754,1
1755,1
1756,4
1757,4
1758,4
1759,4
1760,4
1761,4
1762,4
1763,4
1764,3
1765,1
1766,3
1767,3
1768,3
1769,1
1770,1
1771,1
1772,1
1773,1
1774,3
1775,1
1776,1
1777,3
1778,4
1779,4
1780,1
1781,1
1782,1
1783,1
1784,1
1785,1
1786,1
1787,4
1788,4
1789,4
1790,4
1791,1
1792,1
1793,2
1794,1
1795,1
1796,1
1797,1
1798,1
1799,3
1800,1
1801,1
1802,1
1803,1
1804,1
1805,4
1806,1
1807,1
1808,1
1809,1
1810,1
1811,2
1812,1
1813,1
1814,1
1815,1
1816,1
1817,1
1818,1
1819,2
1820,4
1821,2
1822,1
1823,1
1824,4
1825,1
1826,4
1827,4
1828,4
1829,4
1830,4
1831,4
1832,4
1833,4
1834,4
1835,3
1836,1
1837,3
1838,3
1839,3
1840,1
1841,3
1842,1
1843,1
1844,3
1845,1
1846,3
1847,3
1848,2
1849,2
1850,1
1851,1
1852,3
1853,3
1854,3
1855,3
1856,3
1857,3
1858,3
1859,3
1860,1
1861,3
1862,1
1863,1
1864,1
1865,1
1866,3
1867,3
1868,1
1869,1
1870,1
1871,1
1872,1
1873,1
1874,1
1875,4
1876,1
1877,2
1878,1
1879,3
1880,4
1881,1
1882,1
1883,1
1884,3
1885,3
1886,1
1887,4
1888,1
1889,4
1890,1
1891,3
1892,3
1893,1
1894,1
1895,1
1896,1
1897,1
1898,2
1899,1
1900,1
1901,1
1902,4
1903,5
1904,1
1905,1
1906,1
1907,1
1908,1
1909,1
1910,3
1911,5
1912,4
1913,1
1914,1
1915,1
1916,2
1917,2
1918,1
1919,2
1920,1
1921,1
1922,3
1923,1
1924,3
1925,1
1926,1
1927,4
1928,1
1929,3
1930,1
1931,4
1932,5
1933,1
1934,1
1935,4
1936,1
1937,4
1938,4
1939,1
1940,1
1941,1
1942,4
1943,1
1944,1
1945,2
1946,1
1947,1
1948,1
1949,1
1950,1
1951,1
1952,1
1953,1
1954,1
1955,1
1956,1
1957,4
1958,1
1959,1
1960,2
1961,2
1962,2
1963,1
1964,1
1965,1
1966,1
1967,4
1968,1
1969,1
1970,4
1971,4
1972,1
1973,1
1974,1
1975,1
1976,4
1977,1
1978,1
1979,4
1980,1
1981,4
1982,2
1983,2
1984,4
1985,4
1986,1
1987,1
1988,4
1989,4
1990,4
1991,4
1992,4
1993,4
1994,4
1995,4
1996,4
1997,4
1998,4
1999,1
2000,4
2001,4
2002,4
2003,4
2004,4
2005,4
2006,4
2007,4
2008,1
2009,4
2010,4
2011,4
2012,4
2013,4
2014,4
2015,4
2016,4
2017,4
2018,4
2019,4
2020,4
2021,4
2022,4
2023,4
2024,3
2025,1
2026,1
2027,1
2028,3
2029,1
2030,3
2031,3
2032,3
2033,1
2034,3
2035,1
2036,1
2037,1
2038,1
2039,1
2040,1
2041,1
2042,1
2043,1
2044,1
2045,1
2046,1
2047,2
2048,4
2049,1
2050,3
2051,1
2052,3
2053,1
2054,1
2055,1
2056,2
2057,1
2058,1
2059,1
2060,1
2061,1
2062,1
2063,1
2064,1
2065,1
2066,1
2067,1
2068,1
2069,1
2070,1
2071,1
2072,4
2073,1
2074,1
2075,1
2076,1
2077,1
2078,1
2079,1
2080,1
2081,1
2082,4
2083,2
2084,1
2085,4
2086,4
2087,1
2088,4
2089,1
2090,1
2091,4
2092,1
2093,4
2094,1
2095,4
2096,4
2097,1
2098,1
2099,1
2100,4
2101,4
2102,4
2103,4
2104,1
2105,4
2106,1
2107,4
2108,4
2109,4
2110,4
2111,4
2112,4
2113,4
2114,3
2115,3
2116,1
2117,1
2118,1
2119,1
2120,1
2121,1
2122,1
2123,1
2124,1
2125,1
2126,2
2127,1
2128,1
2129,2
2130,1
2131,1
2132,1
2133,2
2134,1
2135,1
2136,1
2137,1
2138,4
2139,1
2140,4
2141,4
2142,4
2143,4
2144,4
2145,3
2146,1
2147,3
2148,1
2149,1
2150,1
2151,1
2152,1
2153,2
2154,4
2155,4
2156,1
2157,1
2158,1
2159,1
2160,4
2161,4
2162,4
2163,1
2164,4
2165,4
2166,4
2167,4
2168,3
2169,3
2170,3
2171,3
2172,1
2173,3
2174,3
2175,1
2176,2
2177,5
2178,2
2179,1
2180,1
2181,1
2182,4
2183,3
2184,3
2185,4
2186,4
2187,4
2188,3
2189,3
2190,3
2191,3
2192,3
2193,1
2194,3
2195,3
2196,1
2197,3
2198,1
2199,4
2200,1
2201,3
2202,1
2203,1
2204,1
